gid,lon,lat,인구,LISA_I,LISA유형,Gi_z
라라033751,127.536744,35.07143,0,0.0,이웃없음,-0.298
라라035751,127.538937,35.071429,0,0.0,이웃없음,-0.298
라라038747,127.542226,35.067821,0,0.0889,LL,-0.422
라라039748,127.543323,35.068722,0,0.0889,LL,-0.516
라라040748,127.54442,35.068722,0,0.0889,LL,-0.422
라라043638,127.547653,34.969529,0,0.076,LL,-0.467
라라044638,127.548748,34.969529,10,0.0466,LL,-0.489
라라044639,127.548749,34.970431,0,0.0588,LL,-0.445
라라045637,127.549843,34.968627,11,0.0409,LL,-0.494
라라045638,127.549844,34.969528,25,0.0185,LL,-0.494
라라045641,127.549845,34.972234,0,0.0,이웃없음,-0.298
라라045743,127.549901,35.064211,0,0.0889,LL,-0.422
라라046633,127.550936,34.965019,6,0.0,이웃없음,-0.246
라라046636,127.550938,34.967724,0,0.0537,LL,-0.419
라라046637,127.550939,34.968626,21,0.0257,LL,-0.498
라라046638,127.550939,34.969528,0,0.0464,LL,-0.412
라라046742,127.550997,35.063309,0,0.0889,LL,-0.516
라라046763,127.551009,35.082245,0,0.0,이웃없음,-0.298
라라047626,127.552028,34.958706,10,0.0631,LL,-0.467
라라047627,127.552028,34.959608,0,0.0803,LL,-0.553
라라047628,127.552029,34.96051,0,0.0889,LL,-0.516
라라047637,127.552034,34.968626,9,0.0523,LL,-0.467
라라047741,127.552093,35.062407,0,0.0889,LL,-0.516
라라048626,127.553123,34.958706,0,0.076,LL,-0.467
라라048629,127.553125,34.961411,0,0.0889,LL,-0.422
라라048631,127.553126,34.963215,0,0.0,이웃없음,-0.298
라라048660,127.553143,34.989365,0,0.0889,LL,-0.422
라라048725,127.553181,35.047979,0,0.0,이웃없음,-0.298
라라048742,127.553191,35.063308,0,0.0889,LL,-0.596
라라048755,127.553198,35.075031,0,0.0889,LL,-0.422
라라049634,127.554223,34.96592,0,0.0,이웃없음,-0.298
라라049660,127.554239,34.989365,0,0.082,LL,-0.562
라라049741,127.554287,35.062406,0,0.0889,LL,-0.516
라라049742,127.554287,35.063308,0,0.0889,LL,-0.516
라라049756,127.554296,35.075932,0,0.0889,LL,-0.596
라라050629,127.555316,34.96141,0,0.0,이웃없음,-0.298
라라050659,127.555334,34.988463,8,0.0682,LL,-0.476
라라050660,127.555334,34.989364,0,0.0785,LL,-0.476
라라050724,127.555373,35.047076,0,0.0,이웃없음,-0.298
라라050739,127.555382,35.060602,0,0.0,이웃없음,-0.298
라라050755,127.555392,35.07503,0,0.0889,LL,-0.516
라라050756,127.555393,35.075931,0,0.0889,LL,-0.516
라라052632,127.557508,34.964114,15,0.0502,LL,-0.609
라라052633,127.557509,34.965016,0,0.076,LL,-0.532
라라052657,127.557524,34.986658,0,0.0889,LL,-0.516
라라052658,127.557524,34.98756,0,0.0889,LL,-0.516
라라052721,127.557564,35.04437,0,0.0889,LL,-0.422
라라053631,127.558603,34.963212,0,0.076,LL,-0.532
라라053632,127.558603,34.964114,0,0.0811,LL,-0.678
라라053633,127.558604,34.965016,0,0.076,LL,-0.532
라라053637,127.558607,34.968623,0,0.0889,LL,-0.422
라라053658,127.55862,34.987559,0,0.0889,LL,-0.596
라라053722,127.558661,35.045271,0,0.0889,LL,-0.422
라라053737,127.558671,35.058797,0,0.0889,LL,-0.516
라라053738,127.558672,35.059699,0,0.0889,LL,-0.516
라라053755,127.558683,35.075028,0,0.0725,LL,-0.514
라라054622,127.559692,34.955096,0,0.0,이웃없음,-0.298
라라054631,127.559698,34.963212,0,0.0889,LL,-0.516
라라054637,127.559702,34.968622,0,0.0889,LL,-0.516
라라054658,127.559716,34.987559,0,0.0889,LL,-0.422
라라054662,127.559719,34.991166,0,0.0537,LL,-0.419
라라054663,127.559719,34.992068,13,0.0397,LL,-0.466
라라054665,127.55972,34.993871,8,0.0465,LL,-0.367
라라054735,127.559766,35.056993,0,0.0889,LL,-0.422
라라054737,127.559768,35.058796,0,0.0852,LL,-0.706
라라054751,127.559777,35.071421,0,0.0682,LL,-0.437
라라054753,127.559778,35.073224,23,0.0234,LL,-0.466
라라054754,127.559779,35.074126,9,0.0517,LL,-0.616
라라054755,127.55978,35.075028,10,0.0598,LL,-0.664
라라054756,127.55978,35.075929,0,0.0803,LL,-0.553
라라055635,127.560796,34.966818,0,0.0519,LL,-0.411
라라055636,127.560797,34.96772,0,0.0691,LL,-0.497
라라055662,127.560814,34.991165,6,0.0436,LL,-0.462
라라055663,127.560815,34.992067,22,0.0197,LL,-0.489
라라055664,127.560816,34.992969,11,0.0345,LL,-0.492
라라055665,127.560816,34.993871,11,0.0395,LL,-0.439
라라055720,127.560853,35.043466,10,0.0457,LL,-0.372
라라055730,127.56086,35.052484,0,0.0,이웃없음,-0.298
라라055736,127.560864,35.057894,0,0.074,LL,-0.578
라라055737,127.560864,35.058796,7,0.0626,LL,-0.578
라라055738,127.560865,35.059698,0,0.0691,LL,-0.497
라라055741,127.560867,35.062403,0,0.0,이웃없음,-0.298
라라055749,127.560872,35.069617,0,0.0828,LL,-0.566
라라055750,127.560873,35.070518,7,0.0708,LL,-0.64
라라055752,127.560874,35.072322,9,0.0527,LL,-0.579
라라055753,127.560875,35.073224,11,0.0461,LL,-0.547
라라055754,127.560876,35.074125,0,0.0661,LL,-0.616
라라055755,127.560876,35.075027,0,0.0777,LL,-0.704
라라055759,127.560879,35.078634,0,0.0,이웃없음,-0.298
라라056628,127.561887,34.960505,0,0.0,이웃없음,-0.298
라라056632,127.56189,34.964112,0,0.067,LL,-0.432
라라056633,127.56189,34.965014,0,0.029,LL,-0.307
라라056634,127.561891,34.965916,20,0.0152,LL,-0.322
라라056635,127.561892,34.966818,23,0.0122,LL,-0.315
라라056638,127.561894,34.969523,141,2.127,HH,3.929
라라056662,127.56191,34.991165,14,0.0378,LL,-0.508
라라056663,127.561911,34.992066,21,0.0244,LL,-0.598
라라056664,127.561911,34.992968,29,0.0103,LL,-0.556
라라056665,127.561912,34.99387,0,0.056,LL,-0.47
라라056720,127.561949,35.043466,10,0.0454,LL,-0.428
라라056721,127.56195,35.044367,9,0.0466,LL,-0.428
라라056728,127.561955,35.05068,0,0.0,이웃없음,-0.298
라라056732,127.561958,35.054287,0,0.0721,LL,-0.452
라라056737,127.561961,35.058795,16,0.038,LL,-0.6
라라056744,127.561966,35.065107,6,0.0734,LL,-0.385
라라056746,127.561967,35.066911,0,0.0889,LL,-0.516
라라056748,127.561969,35.068714,0,0.0889,LL,-0.596
라라056750,127.56197,35.070518,0,0.0828,LL,-0.566
라라056751,127.561971,35.07142,0,0.0785,LL,-0.605
라라056752,127.561971,35.072321,0,0.0717,LL,-0.51
라라056755,127.561973,35.075026,0,0.0828,LL,-0.566
라라056756,127.561974,35.075928,7,0.0708,LL,-0.481
라라057633,127.562986,34.965014,17,0.0133,LL,-0.256
라라057634,127.562986,34.965915,56,-0.0136,HL,-0.134
라라057635,127.562987,34.966817,27,-0.0029,LH,0.089
라라057636,127.562988,34.967719,19,-0.0694,LH,1.126
라라057637,127.562989,34.968621,33,-0.0245,LH,4.296
라라057638,127.562989,34.969522,583,8.3745,HH,5.545
라라057639,127.56299,34.970424,290,6.1519,HH,5.286
라라057662,127.563006,34.991164,0,0.0713,LL,-0.655
라라057663,127.563006,34.992066,0,0.0653,LL,-0.648
라라057664,127.563007,34.992968,0,0.0631,LL,-0.554
라라057721,127.563047,35.044367,10,0.0457,LL,-0.372
라라057730,127.563053,35.052483,14,0.0329,LL,-0.257
라라057731,127.563054,35.053384,13,0.0479,LL,-0.48
라라057732,127.563054,35.054286,0,0.0721,LL,-0.452
라라057736,127.563057,35.057893,0,0.0476,LL,-0.389
라라057737,127.563058,35.058795,22,0.0249,LL,-0.515
라라057738,127.563058,35.059696,13,0.0361,LL,-0.431
라라057745,127.563063,35.066009,0,0.0811,LL,-0.486
라라057747,127.563065,35.067812,0,0.0889,LL,-0.596
라라057748,127.563065,35.068714,0,0.0889,LL,-0.516
라라058613,127.564067,34.946978,0,0.0,이웃없음,-0.298
라라058624,127.564075,34.956897,37,0.0,이웃없음,0.022
라라058633,127.564081,34.965013,10,-0.009,LH,0.0
라라058634,127.564082,34.965915,60,-0.0043,HL,0.022
라라058635,127.564083,34.966816,51,0.0035,HH,0.114
라라058636,127.564083,34.967718,49,0.1297,HH,2.804
라라058637,127.564084,34.96862,384,5.8222,HH,6.154
라라058638,127.564085,34.969522,347,8.1893,HH,7.904
라라058659,127.564099,34.988458,11,0.0351,LL,-0.317
라라058660,127.5641,34.98936,29,0.0113,LL,-0.446
라라058661,127.564101,34.990262,6,0.0525,LL,-0.536
라라058662,127.564102,34.991164,0,0.0777,LL,-0.704
라라058663,127.564102,34.992065,0,0.0842,LL,-0.699
라라058691,127.564122,35.017314,0,0.0889,LL,-0.516
라라058692,127.564123,35.018216,0,0.0889,LL,-0.516
라라058727,127.564147,35.049777,0,0.0605,LL,-0.407
라라058728,127.564148,35.050678,7,0.0565,LL,-0.475
라라058734,127.564152,35.056089,0,0.0,이웃없음,-0.298
라라058737,127.564154,35.058794,10,0.0471,LL,-0.493
라라058738,127.564155,35.059696,0,0.0599,LL,-0.493
라라058741,127.564157,35.062401,0,0.0665,LL,-0.484
라라058742,127.564158,35.063303,0,0.0665,LL,-0.484
라라058759,127.56417,35.078632,0,0.0889,LL,-0.422
라라058760,127.564171,35.079534,0,0.0889,LL,-0.422
라라059633,127.565177,34.965012,16,0.0166,LL,-0.296
라라059634,127.565177,34.965914,48,-0.0094,HL,-0.177
라라059635,127.565178,34.966816,33,0.0007,LL,-0.14
라라059636,127.565179,34.967718,7,-0.243,LH,2.651
라라059637,127.565179,34.968619,680,6.8977,HH,5.162
라라059638,127.56518,34.969521,343,7.0457,HH,6.487
라라059652,127.56519,34.982146,0,0.0889,LL,-0.422
라라059659,127.565195,34.988458,0,0.0373,LL,-0.317
라라059661,127.565197,34.990261,11,0.0409,LL,-0.494
라라059662,127.565197,34.991163,9,0.0546,LL,-0.596
라라059691,127.565218,35.017314,0,0.0889,LL,-0.596
라라059721,127.56524,35.044366,0,0.0,이웃없음,-0.298
라라059724,127.565242,35.047071,0,0.0,이웃없음,-0.298
라라059728,127.565245,35.050678,15,0.0429,LL,-0.532
라라059729,127.565245,35.05158,6,0.058,LL,-0.532
라라059730,127.565246,35.052481,0,0.0728,LL,-0.57
라라059731,127.565247,35.053383,12,0.0579,LL,-0.457
라라059739,127.565252,35.060597,0,0.0889,LL,-0.422
라라059741,127.565254,35.0624,17,0.0411,LL,-0.484
라라059742,127.565255,35.063302,9,0.0549,LL,-0.484
라라060607,127.566253,34.941566,12,0.047,LL,-0.392
라라060625,127.566266,34.957798,0,0.0,이웃없음,-0.298
라라060632,127.566271,34.96411,0,0.0438,LL,-0.396
라라060633,127.566272,34.965012,17,0.0182,LL,-0.352
라라060634,127.566273,34.965914,0,0.0125,LL,-0.212
라라060635,127.566273,34.966815,14,0.0132,LL,-0.258
라라060636,127.566274,34.967717,0,-0.1816,LH,1.527
라라060637,127.566275,34.968619,12,-0.308,LH,4.164
라라060638,127.566276,34.969521,279,4.6239,HH,5.333
라라060646,127.566281,34.976734,0,0.0605,LL,-0.354
라라060649,127.566284,34.97944,0,0.0734,LL,-0.457
라라060652,127.566286,34.982145,0,0.0665,LL,-0.484
