충전소명,lon,lat,군집
LF스퀘어 광양점,127.5683001,34.96300226,잡음
광양만권경제자유구역청,127.5833225,34.98033434,잡음
광양송보파인빌5차아파트,127.6890131,34.95375878,1
광양시 모리스모텔,127.716708,34.96403159,2
광양시 백운쇼핑센타,127.7324402,34.94044431,잡음
광양시 블루핸즈(광양정비센터),127.5824426,34.96333405,잡음
광양시 비치모텔,127.7509811,34.9625059,잡음
광양시 포스코 ICT 광양사업소,127.7600717,34.94119758,잡음
광양시 프라자모텔,127.7251273,34.9621473,2
광양시 광양읍사무소,127.5806116,34.97305714,3
광양시 광영동주민센터,127.7219132,34.96280567,2
광양시 옥곡면사무소,127.6990526,34.98947912,잡음
광양읍사무소 앞 주차장,127.5805234,34.97229969,3
광양주공이차아파트,127.6856697,34.94464997,잡음
한국전력광양지사,127.6910109,34.94002732,4
광영 근린공원,127.7188542,34.96069942,2
광영동 가야아파트,127.7148504,34.96620953,2
구산칠성이편한세상,127.576134,34.97488689,3
대광로제비앙2차 아파트,127.6888093,34.95224359,1
대신증권앞 주차장,127.6944212,34.94203939,4
마틴모텔,127.7234173,34.9626684,2
섬진강휴게소(부산방향),127.7709926,34.98488981,5
섬진강휴게소(부산방향),127.7709926,34.98488981,5
섬진강휴게소(순천방향),127.7683001,34.98469488,5
섬진강휴게소(순천방향),127.7683001,34.98469488,5
쉐보레동광양지점서비스,127.7581087,34.94612952,잡음
인동숲주차장,127.5875424,34.97016398,3
인동숲주차장,127.5875424,34.97016398,3
중마버스터미널 공영주차장,127.6986192,34.93622499,4
중마상설시장 주차장,127.6997391,34.93852524,4
호텔자바,127.6992277,34.94102047,4
홈플러스 광양점,127.6941381,34.92848751,4
마동근린체육공원,127.6923195,34.95206538,1
광양중마호반리젠시빌,127.6929922,34.93635503,4
광양중마호반리젠시빌,127.6929922,34.93635503,4
태영1차 아파트,127.6972593,34.93423688,4
태영2차 아파트,127.6952218,34.93422343,4
성호2-1차 아파트,127.6906861,34.93327391,4
송보파인빌 6차 아파트,127.6918662,34.95631527,1
송보파인빌 7차 아파트,127.6126981,34.97009451,6
송보파인빌 7차 아파트,127.6126981,34.97009451,6
남해오네뜨 아파트,127.6104569,34.96839912,6
남해오네뜨 아파트,127.6104569,34.96839912,6
광양읍 목성 주공아파트,127.5911366,34.97830648,잡음
