전용면적(㎡),거래금액(만원)
84.99,32000
84.97,31800
84.93,31300
84.81,18800
84.97,34000
84.92,18300
154.55,28000
84.96,32000
84.99,36800
99.98,36500
79.63,13500
128.95,23700
84.66,19000
73.98,31000
74.77,26400
84.81,29900
119.98,54000
98.05,40500
84.94,37000
84.86,37000
84.97,23000
84.66,34000
84.81,35900
84.66,18800
108.81,39700
84.7,28000
112.0,59500
84.81,34000
96.14,36700
96.14,35000
84.94,35400
84.66,17100
99.94,34000
84.99,32700
74.98,29000
99.96,35300
99.98,35400
74.98,29300
96.25,40200
84.91,35000
84.39,37800
101.54,32800
84.84,50000
79.63,12500
84.97,23300
74.98,28600
84.66,37000
84.99,37700
84.7,39000
74.52,31500
71.48,32500
84.88,19000
114.84,64000
98.06,44500
84.98,25000
84.98,25000
84.98,25000
84.98,25000
84.98,25000
84.98,25000
84.98,25000
84.98,25000
84.98,25000
84.98,25000
84.98,25000
84.93,12200
61.9,8700
114.16,35900
84.99,41000
84.98,21000
84.98,32800
84.94,41000
65.78,9500
84.93,11900
84.94,31200
74.98,28300
74.98,29200
84.99,32000
84.99,41000
84.97,35800
84.63,42700
84.84,14900
126.7,22500
96.14,35500
84.76,48400
84.61,28000
97.99,65000
84.76,51000
114.19,39000
84.99,44600
101.72,56201
84.7,49000
108.99,53700
84.95,32200
84.81,39500
84.97,21500
97.99,62000
100.9,41400
97.99,53800
102.63,44700
101.45,45500
84.11,34000
84.66,19500
99.96,34900
75.0,44800
84.98,53500
84.99,42850
84.96,46500
84.99,33000
74.77,28000
74.98,28300
84.9,49800
71.48,33800
84.86,32500
84.99,30850
84.99,42500
84.99,36800
84.99,32800
84.98,23520
84.99,31500
84.95,35000
84.94,35850
84.92,19000
97.99,60000
84.86,33500
99.99,56000
128.95,24500
97.99,60000
84.81,42000
84.96,41000
84.08,30200
83.26,13900
84.98,33000
84.67,40700
98.19,70500
84.92,44500
84.97,34500
84.94,45200
84.99,44000
84.62,30800
84.18,32000
84.93,9000
84.08,30500
98.6,75200
84.95,29500
84.94,32000
95.8,58500
84.9,42000
95.8,59500
99.98,35500
101.81,56500
84.95,30800
95.8,59800
84.76,50000
79.8,56300
84.7,27800
84.81,36600
111.98,66500
84.66,31500
118.83,95000
84.66,42000
84.99,42200
84.94,50500
84.96,42000
84.94,43500
99.98,33500
108.86,88000
84.94,40700
75.55,42670
84.95,50000
98.64,89500
84.98,34294
84.97,49900
84.95,34500
85.0,56000
75.58,40200
84.97,53000
101.73,79400
75.0,52900
74.52,31500
128.95,23800
84.98,42300
84.92,37500
84.81,43200
106.64,78500
114.16,38000
101.95,44400
98.19,91000
84.11,38000
84.99,45500
99.96,35000
85.0,61800
84.95,33900
84.92,35000
98.71,59500
84.94,35600
75.0,44000
84.98,32000
74.77,28000
100.55,52000
85.0,32800
84.98,23522
99.99,69000
84.66,32300
84.94,49750
84.99,33800
84.89,60000
84.95,36000
84.98,35500
84.99,43900
99.98,38000
74.52,36000
84.9,34000
108.98,65500
96.14,39000
84.99,59700
125.54,25500
84.99,35000
84.9,56000
75.58,50000
97.57,66800
84.95,42500
84.94,60000
84.98,43800
84.86,38000
97.99,62500
96.14,45500
84.87,52500
84.98,22450
84.89,40700
117.9,56500
100.92,56000
84.66,18800
84.99,39500
83.26,13000
128.95,29900
97.99,81000
107.7,48000
74.98,38500
75.9,51750
104.9,19000
74.77,38000
84.99,55800
84.66,20900
101.81,75000
84.97,52000
74.97,54500
99.07,102000
98.11,79000
128.95,29800
74.52,41200
84.87,19000
84.98,48000
84.99,15000
84.78,75000
84.7,53000
84.86,59000
98.99,81800
99.96,55000
84.99,13700
98.95,87000
106.76,70000
84.99,48000
84.97,51000
152.78,28000
84.99,46000
120.64,26700
111.98,96000
79.63,13100
84.98,52000
84.99,82000
80.8,69000
84.96,69000
84.99,82000
98.06,97000
98.93,87000
84.92,30000
107.7,61000
74.71,75000
84.96,84000
84.99,60500
97.99,72000
102.94,129000
128.95,38900
83.26,16900
84.92,32000
84.98,36800
84.97,40000
100.73,87000
84.84,24000
84.99,73000
84.66,34000
84.66,37100
84.08,70500
85.0,95500
84.71,31000
99.94,60000
84.99,17000
74.97,73000
84.98,66100
