연월,실제,나이브,이동평균 k=2,단순지수평활,홀트 선형추세,홀트-윈터스
2022-05,941821,938883,938104,938802,942653,943082
2022-06,943634,938883,938493,938802,944887,945299
2022-07,945625,938883,938298,938802,947120,947354
2022-08,947506,938883,938396,938802,949354,950703
2022-09,948890,938883,938347,938802,951587,953789
2022-10,953402,938883,938371,938802,953821,956481
2022-11,958037,938883,938359,938802,956054,959774
2022-12,961836,938883,938365,938802,958288,962299
2023-01,965932,938883,938362,938802,960521,963105
2023-02,971005,938883,938364,938802,962755,964370
2023-03,975106,938883,938363,938802,964988,965391
2023-04,978653,938883,938363,938802,967221,967355
