연월,총인구
2014-01,561418
2014-02,561970
2014-03,563241
2014-04,564807
2014-05,566485
2014-06,567918
2014-07,569131
2014-08,570272
2014-09,571388
2014-10,572569
2014-11,573786
2014-12,575564
2015-01,579396
2015-02,585232
2015-03,592941
2015-04,598216
2015-05,602061
2015-06,605311
2015-07,609993
2015-08,615929
2015-09,620362
2015-10,625148
2015-11,629919
2015-12,635099
2016-01,639666
2016-02,644855
2016-03,648193
2016-04,650999
2016-05,654867
2016-06,658276
2016-07,661607
2016-08,666342
2016-09,670069
2016-10,673585
2016-11,676830
2016-12,681699
2017-01,685170
2017-02,690328
2017-03,695747
2017-04,699153
2017-05,702322
2017-06,706145
2017-07,710014
2017-08,716109
2017-09,721513
2017-10,725912
2017-11,730387
2017-12,734918
2018-01,741061
2018-02,751797
2018-03,760360
2018-04,767087
2018-05,771439
2018-06,775265
2018-07,779430
2018-08,784480
2018-09,788461
2018-10,794760
2018-11,801036
2018-12,806688
2019-01,813498
2019-02,819539
2019-03,824176
2019-04,830150
2019-05,835199
2019-06,839500
2019-07,844830
2019-08,849096
2019-09,852915
2019-10,858008
2019-11,862256
2019-12,865244
2020-01,869559
2020-02,873572
2020-03,878214
2020-04,882375
2020-05,884613
2020-06,886569
2020-07,888981
2020-08,892108
2020-09,895744
2020-10,898630
2020-11,901316
2020-12,903068
2021-01,904929
2021-02,906302
2021-03,907448
2021-04,911055
2021-05,914089
2021-06,916717
2021-07,918904
2021-08,922328
2021-09,925244
2021-10,927593
2021-11,930756
2021-12,933601
2022-01,934545
2022-02,936094
2022-03,937324
2022-04,938883
2022-05,941821
2022-06,943634
2022-07,945625
2022-08,947506
2022-09,948890
2022-10,953402
2022-11,958037
2022-12,961836
2023-01,965932
2023-02,971005
2023-03,975106
2023-04,978653
