실제,중앙예측,하한5%,상한95%
376.5,360.8,319.3,435.0
218.3,222.5,204.9,230.7
412.2,438.6,402.8,498.0
368.9,427.4,416.0,438.6
147.7,208.0,191.3,216.8
428.3,440.1,402.8,500.8
364.1,427.4,416.0,438.6
393.0,494.2,411.0,531.3
350.9,427.4,416.0,438.6
380.6,427.4,416.0,438.6
395.2,430.9,420.4,480.5
394.2,360.8,319.3,435.0
469.0,426.4,365.9,438.6
394.2,360.8,319.3,435.0
389.8,375.7,365.6,422.2
593.9,436.1,405.5,531.0
435.0,427.4,416.0,438.6
447.9,373.3,361.6,418.3
343.7,373.3,361.6,418.3
441.4,373.3,361.6,418.3
400.0,360.8,319.3,435.0
564.8,440.1,402.8,500.8
474.2,440.1,402.8,500.8
294.2,294.2,294.2,315.8
294.2,294.2,294.2,315.8
294.2,294.2,294.2,315.8
294.2,294.2,294.2,315.8
294.2,328.8,294.2,347.8
230.3,221.8,204.6,228.2
386.4,380.1,368.3,447.4
488.3,499.9,452.9,592.6
390.1,552.3,440.4,637.7
449.6,478.5,440.4,499.0
166.9,183.9,179.5,189.1
504.5,598.8,505.9,636.5
490.6,470.7,452.9,492.0
227.3,227.2,217.6,244.4
584.7,553.6,517.9,619.7
406.6,455.6,422.2,471.1
130.2,167.6,143.2,178.1
278.5,222.3,212.7,228.2
366.2,380.1,368.3,447.4
387.1,455.6,422.2,471.1
129.4,161.7,137.6,171.2
374.7,455.6,422.2,539.3
394.2,455.6,422.2,539.3
384.2,380.1,368.3,447.4
541.6,455.6,422.2,471.1
369.1,380.6,371.5,447.4
147.7,152.4,142.1,168.2
588.6,456.9,446.1,472.8
412.0,456.5,445.2,471.1
368.3,456.5,445.2,471.1
375.3,459.5,377.1,480.1
470.4,457.2,446.1,490.1
133.3,152.4,142.1,168.2
203.7,242.5,232.8,247.4
329.5,456.3,363.7,471.1
600.0,478.5,456.8,510.0
554.5,457.2,446.1,490.1
441.3,456.5,445.2,471.1
401.2,380.9,371.5,447.4
357.9,456.9,446.1,472.8
436.1,603.7,517.9,646.8
616.8,481.4,456.8,545.3
457.7,380.5,369.3,447.4
648.9,608.4,522.9,647.9
576.2,580.4,470.3,660.4
496.1,445.7,381.3,490.1
365.4,380.1,370.0,447.4
564.8,634.8,597.7,653.6
476.7,456.5,445.2,471.1
434.3,456.5,445.2,471.1
488.5,456.5,445.2,471.1
557.3,634.8,571.5,653.6
488.7,457.2,446.1,474.9
927.5,585.5,492.0,660.4
510.0,477.8,456.3,499.0
412.0,456.5,445.2,471.1
656.1,634.8,571.5,653.6
468.6,380.6,371.5,447.4
428.0,380.5,369.3,447.4
754.6,580.4,470.3,660.4
588.3,466.9,452.9,486.9
412.9,615.9,576.5,755.2
385.9,626.6,536.7,681.3
390.0,626.6,536.7,739.8
622.7,627.2,570.1,733.8
471.4,589.1,537.8,632.3
495.0,589.1,537.8,632.3
235.0,259.0,236.7,282.2
826.5,828.7,653.4,981.5
596.8,561.6,490.6,599.7
465.4,584.3,507.5,622.0
600.8,588.9,525.9,647.1
519.1,615.9,576.5,755.2
196.0,284.1,216.5,327.1
800.2,776.1,709.2,828.3
221.5,259.0,236.7,282.2
228.0,259.0,236.7,282.2
256.5,302.7,271.9,327.7
248.0,254.8,236.0,280.9
181.1,277.6,216.5,311.2
181.1,277.6,216.5,311.2
164.8,183.5,148.3,197.6
635.5,548.2,490.6,597.3
579.1,507.6,434.6,596.9
737.7,798.7,748.3,851.5
594.1,626.6,536.7,681.3
660.8,755.4,640.6,808.0
865.3,978.8,828.3,1058.3
223.9,254.8,236.0,280.4
588.3,506.2,462.8,548.5
168.2,183.5,158.3,197.6
679.3,785.3,739.5,828.5
613.7,626.6,536.7,739.8
791.4,717.9,642.0,828.3
861.7,626.2,570.1,772.8
671.6,584.3,507.5,622.0
711.9,506.2,462.8,548.5
1117.9,809.5,748.3,853.7
159.0,183.5,163.4,197.6
754.0,608.7,525.9,770.3
812.0,561.6,490.6,599.7
913.3,804.6,724.1,853.6
