순서,후보지
1,성보장
2,구산2 어린이공원
3,중마13통
4,광영파출소 앞
5,인서 평화빌라 앞
6,예구마을 소공원
7,중동근린공원
8,송보아파트 부근 임시
9,용강리 898-6
10,시청뒤 소공원 인근
11,자치센타 앞
12,덕진봄@ 부근
13,덕례리 1737-20
14,우산공원
15,목련빌라 24동
16,우체국 뒤
17,섬거리 557-33
18,중동 1703-5
19,중동 1777-1
20,그린파크 내
21,장내마을회관
22,사랑아파트 부근
23,중동교회 뒤
24,노인정 앞
25,덕산마을 회관
26,세승마을
27,용지마을 내
28,산단내  지엔앞
29,금이마을 앞
30,문화마을 내
31,황길동 892-18
32,망덕포구 내
33,마동 1164-1
34,광영동 718-15
35,용강리 865-5
36,부암마을앞
37,개성지구
38,중마터미널주차장
39,도촌마을 내
40,금이리 453-2
41,와우호수공원내
42,궁기회관 앞
43,포석정위도로변
44,중동 성호아파트 옆
45,신기경로당 인근
46,민속가든옆
47,칠성1지구
48,무선마을
49,성황마을
50,사동 1공구(노암공원)
51,황곡마을
52,장동게이트볼장 앞
53,망덕리 845-62외5
54,하천첨주변
55,초남2산단
56,구산리 417
57,매화로주변
58,마시마을뒤
59,논실마을입구
60,진 틀 입 구
61,회계분교
62,중앙탕 앞
63,구 중마상설시장 앞
64,중마일반부두 인근
65,가야아파트 앞
66,백합아파트 41동 주변
67,옥룡사지입구
68,문화마을 내
69,봉강면 조령리 822-2
